numcol,yieldpercol,totalprod,stocks,prodvalue
8000.0,63,504000.0,106000.0,1260000.0
235000.0,121,28435000.0,12796000.0,16492000.0
50000.0,51,2550000.0,459000.0,4769000.0
7000.0,61,427000.0,145000.0,1516000.0
265000.0,58,15370000.0,4765000.0,23209000.0
4000.0,47,188000.0,105000.0,269000.0
120000.0,83,9960000.0,1892000.0,14342000.0
10000.0,75,750000.0,263000.0,3113000.0
28000.0,40,1120000.0,605000.0,1826000.0
32000.0,59,1888000.0,868000.0,2681000.0
60000.0,98,5880000.0,2470000.0,7350000.0
92000.0,41,3772000.0,1848000.0,4338000.0
9000.0,62,558000.0,61000.0,1490000.0
5000.0,51,255000.0,41000.0,803000.0
28000.0,70,1960000.0,902000.0,1901000.0
210000.0,71,14910000.0,1491000.0,19681000.0
470000.0,50,23500000.0,3525000.0,31020000.0
4000.0,30,120000.0,17000.0,238000.0
9000.0,41,369000.0,92000.0,1026000.0
18000.0,60,1080000.0,410000.0,2657000.0
36000.0,69,2484000.0,571000.0,2409000.0
9000.0,32,288000.0,101000.0,582000.0
15000.0,64,960000.0,739000.0,691000.0
145000.0,66,9570000.0,1914000.0,13781000.0
60000.0,58,3480000.0,522000.0,4141000.0
23000.0,48,1104000.0,276000.0,1822000.0
95000.0,44,4180000.0,2592000.0,4055000.0
84000.0,90,7560000.0,4385000.0,5141000.0
23000.0,66,1518000.0,455000.0,1154000.0
72000.0,55,3960000.0,2099000.0,4554000.0
28000.0,60,1680000.0,790000.0,1277000.0
25000.0,42,1050000.0,326000.0,1785000.0
8000.0,118,944000.0,66000.0,727000.0
8000.0,87,696000.0,84000.0,606000.0
72000.0,64,4608000.0,2350000.0,5484000.0
122000.0,78,9516000.0,2569000.0,13227000.0
15000.0,92,1380000.0,166000.0,1256000.0
120000.0,74,8880000.0,1598000.0,7992000.0
71000.0,73,5183000.0,2021000.0,7464000.0
75000.0,56,4200000.0,307000.0,2898000.0
14000.0,55,770000.0,470000.0,585000.0
260000.0,63,16380000.0,3604000.0,31941000.0
5000.0,94,470000.0,14000.0,588000.0
6000.0,66,396000.0,222000.0,249000.0
17000.0,68,1156000.0,185000.0,647000.0
30000.0,58,1740000.0,557000.0,1131000.0
51000.0,89,4539000.0,2043000.0,4584000.0
18000.0,118,2124000.0,64000.0,3759000.0
7000.0,83,581000.0,163000.0,1139000.0
5000.0,50,250000.0,40000.0,520000.0
8000.0,42,336000.0,114000.0,739000.0
12000.0,32,384000.0,104000.0,461000.0
41000.0,86,3526000.0,141000.0,6453000.0
35000.0,72,2520000.0,983000.0,3377000.0
6000.0,59,354000.0,138000.0,503000.0
7000.0,48,336000.0,104000.0,400000.0
6000.0,55,330000.0,155000.0,376000.0
76000.0,60,4560000.0,2827000.0,3694000.0
45000.0,65,2925000.0,936000.0,5645000.0
18000.0,65,1170000.0,585000.0,924000.0
6000.0,39,234000.0,152000.0,255000.0
7000.0,112,784000.0,125000.0,643000.0
9000.0,40,360000.0,72000.0,695000.0
255000.0,52,13260000.0,10608000.0,13525000.0
11000.0,41,451000.0,135000.0,1669000.0
10000.0,46,460000.0,175000.0,759000.0
65000.0,67,4355000.0,2439000.0,5052000.0
23000.0,39,897000.0,170000.0,1570000.0
16000.0,46,736000.0,390000.0,640000.0
62000.0,44,2728000.0,1064000.0,4310000.0
74000.0,77,5698000.0,2678000.0,8376000.0
50000.0,70,3500000.0,1260000.0,5775000.0
8000.0,43,344000.0,76000.0,736000.0
18000.0,62,1116000.0,346000.0,2544000.0
14000.0,104,1456000.0,87000.0,1922000.0
8000.0,34,272000.0,57000.0,694000.0
53000.0,65,3445000.0,1688000.0,2033000.0
235000.0,65,15275000.0,12220000.0,10845000.0
115000.0,122,14030000.0,5472000.0,8979000.0
120000.0,50,6000000.0,2220000.0,3900000.0
60000.0,32,1920000.0,845000.0,4147000.0
4000.0,51,204000.0,63000.0,253000.0
7000.0,40,280000.0,67000.0,221000.0
73000.0,57,4161000.0,1332000.0,8447000.0
16000.0,71,1136000.0,159000.0,818000.0
25000.0,64,1600000.0,336000.0,2016000.0
35000.0,124,4340000.0,347000.0,5034000.0
5000.0,56,280000.0,34000.0,549000.0
100000.0,72,7200000.0,792000.0,10872000.0
7000.0,60,420000.0,252000.0,769000.0
65000.0,41,2665000.0,346000.0,3918000.0
18000.0,86,1548000.0,898000.0,898000.0
18000.0,50,900000.0,189000.0,1278000.0
28000.0,42,1176000.0,270000.0,1329000.0
11000.0,72,792000.0,230000.0,958000.0
8000.0,59,472000.0,151000.0,651000.0
16000.0,58,928000.0,353000.0,1420000.0
43000.0,49,2107000.0,885000.0,2844000.0
36000.0,80,2880000.0,288000.0,4320000.0
30000.0,67,2010000.0,1206000.0,1367000.0
14000.0,53,742000.0,371000.0,1247000.0
82000.0,70,5740000.0,976000.0,5109000.0
11000.0,47,517000.0,57000.0,1029000.0
44000.0,44,1936000.0,1200000.0,1433000.0
11000.0,49,539000.0,243000.0,771000.0
22000.0,59,1298000.0,208000.0,1687000.0
200000.0,69,13800000.0,1794000.0,21528000.0
7000.0,42,294000.0,103000.0,441000.0
73000.0,85,6205000.0,3475000.0,4095000.0
6000.0,42,252000.0,68000.0,509000.0
4000.0,48,192000.0,54000.0,259000.0
13000.0,46,598000.0,144000.0,1591000.0
250000.0,66,16500000.0,4290000.0,28050000.0
